candidate_id,candidate_sex,text_excerpt,predicted_name,score,correct,missed_names
EL198_L_1993_03_092_06_1_PF_01,femme,"Elections législatives du 21 mars 1993 - 6e circonscription des Hauts de Seine
Utilisez le vote communiste - pour dire votre mécontentement - pour se défendre face à la droite
Nadine GARCIA, cadre à La Défense Thierry DANIS, ouvrier
Candidats présentés par le PARTI COMMUNISTE FRANÇAIS
Madame, Mademoiselle, Monsieur,
Lors de nos multiples rencontres, vous avez été nombreux à nous faire part de votre profond mécontentement concernant la politique actuelle, de votre écœurement devant « les affaires », les combinaisons politiciennes.
Nous partageons totalement votre condamnation des choix du gouvernement actuel ainsi que votre rejet de toutes les pratiques frauduleuses ou anti-démocratiques. Beau- coup d'entre-vous nous ont dit également leurs craintes justifiées face au retour de la droite (privatisation, menaces sur l'emploi, la retraite à 60 ans, les allocations fami- liales, aggravation des inégalités dans le domaine de l'école, la santé, le logement, ... ). Se rassembler contre celle-ci est urgent.
Or, M. Rocard et les dirigeants socialistes préparent la disparition du P.S. au profit d'une alliance avec une partie de la droite.
Les dirigeants écologistes, eux, proposent de faire de la politique autrement en gou- vernant avec le P.S. quand il est fort et avec la droite quand elle gagne.
Comment dans cette situation exprimer son mécontentement face à la situation actuelle, son opposition à la droite et faire valoir ses aspirations à une politique de progrès et de justice sociale ?
C'est le sens profond de notre candidature.
Nous mettons nos bulletins de vote à la disposition de toutes les femmes et les hom- mes de progrès qui souhaitent s'opposer résolument au retour de la droite, exprimer leur rejet de la politique actuelle et leur volonté de changement.
Nous savons que vous n'êtes pas forcément d'accord avec tout ce que dit ou fait le Parti Communiste. Nous comprenons et nous ne demandons à personne de se renier. Nous prenons l'engagement de ne pas faire dire à vot",Nadine GARCIA,0.998,,
EL198_L_1993_03_092_06_1_PF_01,femme,"Elections législatives du 21 mars 1993 - 6e circonscription des Hauts de Seine
Utilisez le vote communiste - pour dire votre mécontentement - pour se défendre face à la droite
Nadine GARCIA, cadre à La Défense Thierry DANIS, ouvrier
Candidats présentés par le PARTI COMMUNISTE FRANÇAIS
Madame, Mademoiselle, Monsieur,
Lors de nos multiples rencontres, vous avez été nombreux à nous faire part de votre profond mécontentement concernant la politique actuelle, de votre écœurement devant « les affaires », les combinaisons politiciennes.
Nous partageons totalement votre condamnation des choix du gouvernement actuel ainsi que votre rejet de toutes les pratiques frauduleuses ou anti-démocratiques. Beau- coup d'entre-vous nous ont dit également leurs craintes justifiées face au retour de la droite (privatisation, menaces sur l'emploi, la retraite à 60 ans, les allocations fami- liales, aggravation des inégalités dans le domaine de l'école, la santé, le logement, ... ). Se rassembler contre celle-ci est urgent.
Or, M. Rocard et les dirigeants socialistes préparent la disparition du P.S. au profit d'une alliance avec une partie de la droite.
Les dirigeants écologistes, eux, proposent de faire de la politique autrement en gou- vernant avec le P.S. quand il est fort et avec la droite quand elle gagne.
Comment dans cette situation exprimer son mécontentement face à la situation actuelle, son opposition à la droite et faire valoir ses aspirations à une politique de progrès et de justice sociale ?
C'est le sens profond de notre candidature.
Nous mettons nos bulletins de vote à la disposition de toutes les femmes et les hom- mes de progrès qui souhaitent s'opposer résolument au retour de la droite, exprimer leur rejet de la politique actuelle et leur volonté de changement.
Nous savons que vous n'êtes pas forcément d'accord avec tout ce que dit ou fait le Parti Communiste. Nous comprenons et nous ne demandons à personne de se renier. Nous prenons l'engagement de ne pas faire dire à vot",Thierry DANIS,0.997,,
EL198_L_1993_03_092_06_1_PF_01,femme,"Elections législatives du 21 mars 1993 - 6e circonscription des Hauts de Seine
Utilisez le vote communiste - pour dire votre mécontentement - pour se défendre face à la droite
Nadine GARCIA, cadre à La Défense Thierry DANIS, ouvrier
Candidats présentés par le PARTI COMMUNISTE FRANÇAIS
Madame, Mademoiselle, Monsieur,
Lors de nos multiples rencontres, vous avez été nombreux à nous faire part de votre profond mécontentement concernant la politique actuelle, de votre écœurement devant « les affaires », les combinaisons politiciennes.
Nous partageons totalement votre condamnation des choix du gouvernement actuel ainsi que votre rejet de toutes les pratiques frauduleuses ou anti-démocratiques. Beau- coup d'entre-vous nous ont dit également leurs craintes justifiées face au retour de la droite (privatisation, menaces sur l'emploi, la retraite à 60 ans, les allocations fami- liales, aggravation des inégalités dans le domaine de l'école, la santé, le logement, ... ). Se rassembler contre celle-ci est urgent.
Or, M. Rocard et les dirigeants socialistes préparent la disparition du P.S. au profit d'une alliance avec une partie de la droite.
Les dirigeants écologistes, eux, proposent de faire de la politique autrement en gou- vernant avec le P.S. quand il est fort et avec la droite quand elle gagne.
Comment dans cette situation exprimer son mécontentement face à la situation actuelle, son opposition à la droite et faire valoir ses aspirations à une politique de progrès et de justice sociale ?
C'est le sens profond de notre candidature.
Nous mettons nos bulletins de vote à la disposition de toutes les femmes et les hom- mes de progrès qui souhaitent s'opposer résolument au retour de la droite, exprimer leur rejet de la politique actuelle et leur volonté de changement.
Nous savons que vous n'êtes pas forcément d'accord avec tout ce que dit ou fait le Parti Communiste. Nous comprenons et nous ne demandons à personne de se renier. Nous prenons l'engagement de ne pas faire dire à vot",. Rocard,0.905,,
EL106_L_1978_03_075_24_1_PF_04,femme,"Sciences Po / fonds CEVIPOF
Elections législatives de Mars 1978 - 24e circonscription de Paris
UNE SOCIALISTE POUR VOTRE ARRONDISSEMENT
Madame, Mademoiselle, Monsieur,
Candidate du Parti Socialiste, je suis la mieux placée pour battre la candidate de droite. L'accueil que vous m'avez réservé pendant cette campagne en est la preuve.
Vos espoirs, je vais m'employer dès demain à y répondre, car les problèmes que vous vivez : hausse du coût de la vie, insécurité devant l'avenir, dégradation de la qualité de la vie dans notre quartier, ce sont aussi mes problèmes, moi qui vit et travaille parmi vous.
Ma vie de militante m'a permis de déceler bien des détresses cachées, économiques et morales ; de constater l'absence scandaleuse d'une volonté de développement social et culturel.
Il ne s'est rien passé ici depuis vingt ans, depuis vingt ans; la situation n'a fait que s'y dégrader. Et s'il n'est pas mis fin maintenant à cette situation, rien ne pourra plus, peut-être, être sauvé : Paris perd ses jeunes habitants, ses travailleurs, nos rues perdent leurs commerçants, leur animation. Notre environnement au lieu de permettre notre épanouissement devient hostile.
Mais, l'enjeu de ces élections législatives doit faire porter notre regard, notre réflexion, bien au-delà de notre circonscription sur notre pays tout entier.
Il ne s'agit pas pour moi de vous faire des promesses, je laisse cela à d'autres ... Je vous propose un projet politique précis, rigoureux, cohérent : le Programme commun enrichit des propositions propres aux socialistes. Ce projet ambitieux mais réaliste nous en avons les moyens. Ces moyens doivent prendre en compte la crise profonde que traverse notre pays, crise que le gouvernement n'a pas su et voulu ni éviter ni résoudre.
Nos moyens :
- La relance de l'économie par la relance de la consommation populaire, par une lutte réelle contre les inégalités ;
- Sa restructuration, sa modernisation afin de sauvegarder notre indépendance nationale.
Pour cela, il faut qu",Mademoiselle,0.801,,
EL106_L_1978_03_075_24_1_PF_04,femme,"Sciences Po / fonds CEVIPOF
Elections législatives de Mars 1978 - 24e circonscription de Paris
UNE SOCIALISTE POUR VOTRE ARRONDISSEMENT
Madame, Mademoiselle, Monsieur,
Candidate du Parti Socialiste, je suis la mieux placée pour battre la candidate de droite. L'accueil que vous m'avez réservé pendant cette campagne en est la preuve.
Vos espoirs, je vais m'employer dès demain à y répondre, car les problèmes que vous vivez : hausse du coût de la vie, insécurité devant l'avenir, dégradation de la qualité de la vie dans notre quartier, ce sont aussi mes problèmes, moi qui vit et travaille parmi vous.
Ma vie de militante m'a permis de déceler bien des détresses cachées, économiques et morales ; de constater l'absence scandaleuse d'une volonté de développement social et culturel.
Il ne s'est rien passé ici depuis vingt ans, depuis vingt ans; la situation n'a fait que s'y dégrader. Et s'il n'est pas mis fin maintenant à cette situation, rien ne pourra plus, peut-être, être sauvé : Paris perd ses jeunes habitants, ses travailleurs, nos rues perdent leurs commerçants, leur animation. Notre environnement au lieu de permettre notre épanouissement devient hostile.
Mais, l'enjeu de ces élections législatives doit faire porter notre regard, notre réflexion, bien au-delà de notre circonscription sur notre pays tout entier.
Il ne s'agit pas pour moi de vous faire des promesses, je laisse cela à d'autres ... Je vous propose un projet politique précis, rigoureux, cohérent : le Programme commun enrichit des propositions propres aux socialistes. Ce projet ambitieux mais réaliste nous en avons les moyens. Ces moyens doivent prendre en compte la crise profonde que traverse notre pays, crise que le gouvernement n'a pas su et voulu ni éviter ni résoudre.
Nos moyens :
- La relance de l'économie par la relance de la consommation populaire, par une lutte réelle contre les inégalités ;
- Sa restructuration, sa modernisation afin de sauvegarder notre indépendance nationale.
Pour cela, il faut qu",Monsieur,0.719,,
EL198_L_1993_03_092_03_1_PF_06,femme,"Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Elections législatives : scrutins des 21 et 28 Mars 1993, Département des Hauts-de-seine, 3e circonscription,Bois-Colombes, Courbevoie, La Garenne-Colombes.
Les 21 et 28 Mars 1993, vous aurez à élire votre représentant à l'Assemblée Nationale. FAITES PREUVE D'IMAGINATION !
Catherine BRIGAND - GAMBAZZA
Votre environnement, c'est la nature, la culture, l'économie, la politique.
AIDEZ-MOI A LES DEFENDRE !
Votre député écologiste ne sera pas un député comme les autres, il agira pour :
· le refus du CUMUL des MANDATS, afin d'éviter la concentration perverse des pouvoirs et prévenir ""les affaires"" ...
· le PARTAGE du TRAVAIL et son rééquilibrage sur le territoire,
· la lutte contre toutes les EXCLUSIONS : chômeurs, mal logés, handicapés ...
· donner aux jeunes une FORMATION généraliste et professionnelle pour répondre aux attentes du marché de l'emploi,
· DÉMOCRATISER la vie politique en revalorisant les concertations et en prenant en compte l'avis des citoyens et des associations,
· MORALISER la vie publique. JAMAIS PLUS de JUSTICE à deux vitesses et d'AUTO-AMNISTIE,
· une PROTECTION de l'environnement par l'application stricte des lois, par une gestion maîtrisée des déchets sur le principe POLLUEUR = PAYEUR.
La terre est notre héritage : nous sommes priés de la laisser dans l'état où nous l'avons trouvée en naissant !
Professeur de Physique à l'Ecole Nationale Supérieure des Beaux-Arts - Section Architecture. Membre de plusieurs associations de défense de l'environnement. Conseillère municipale depuis 1989. Mariée, deux enfants, 19 et 13 ans.
AGIR, PAS GEMIR
PAPIER RÉCUPÉRÉ ET RECYCLÉ 100%
Jacques CHOLET
Architecte urbaniste, marié, deux enfants, 19 et 15 ans, Président d'une association de défense de l'environnement.
I.P.C PARIS
GENERATION ECCOLE
Avec Brice LALONDE
Vu le candidat ☐Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Pour votre environnement quotidien l'Ecologie à l'Assemblée.
Au départ, l'écologie semb",Catherine BRIGAND,0.998,,
EL198_L_1993_03_092_03_1_PF_06,femme,"Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Elections législatives : scrutins des 21 et 28 Mars 1993, Département des Hauts-de-seine, 3e circonscription,Bois-Colombes, Courbevoie, La Garenne-Colombes.
Les 21 et 28 Mars 1993, vous aurez à élire votre représentant à l'Assemblée Nationale. FAITES PREUVE D'IMAGINATION !
Catherine BRIGAND - GAMBAZZA
Votre environnement, c'est la nature, la culture, l'économie, la politique.
AIDEZ-MOI A LES DEFENDRE !
Votre député écologiste ne sera pas un député comme les autres, il agira pour :
· le refus du CUMUL des MANDATS, afin d'éviter la concentration perverse des pouvoirs et prévenir ""les affaires"" ...
· le PARTAGE du TRAVAIL et son rééquilibrage sur le territoire,
· la lutte contre toutes les EXCLUSIONS : chômeurs, mal logés, handicapés ...
· donner aux jeunes une FORMATION généraliste et professionnelle pour répondre aux attentes du marché de l'emploi,
· DÉMOCRATISER la vie politique en revalorisant les concertations et en prenant en compte l'avis des citoyens et des associations,
· MORALISER la vie publique. JAMAIS PLUS de JUSTICE à deux vitesses et d'AUTO-AMNISTIE,
· une PROTECTION de l'environnement par l'application stricte des lois, par une gestion maîtrisée des déchets sur le principe POLLUEUR = PAYEUR.
La terre est notre héritage : nous sommes priés de la laisser dans l'état où nous l'avons trouvée en naissant !
Professeur de Physique à l'Ecole Nationale Supérieure des Beaux-Arts - Section Architecture. Membre de plusieurs associations de défense de l'environnement. Conseillère municipale depuis 1989. Mariée, deux enfants, 19 et 13 ans.
AGIR, PAS GEMIR
PAPIER RÉCUPÉRÉ ET RECYCLÉ 100%
Jacques CHOLET
Architecte urbaniste, marié, deux enfants, 19 et 15 ans, Président d'une association de défense de l'environnement.
I.P.C PARIS
GENERATION ECCOLE
Avec Brice LALONDE
Vu le candidat ☐Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Pour votre environnement quotidien l'Ecologie à l'Assemblée.
Au départ, l'écologie semb",GAMBAZZA,0.988,,
EL198_L_1993_03_092_03_1_PF_06,femme,"Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Elections législatives : scrutins des 21 et 28 Mars 1993, Département des Hauts-de-seine, 3e circonscription,Bois-Colombes, Courbevoie, La Garenne-Colombes.
Les 21 et 28 Mars 1993, vous aurez à élire votre représentant à l'Assemblée Nationale. FAITES PREUVE D'IMAGINATION !
Catherine BRIGAND - GAMBAZZA
Votre environnement, c'est la nature, la culture, l'économie, la politique.
AIDEZ-MOI A LES DEFENDRE !
Votre député écologiste ne sera pas un député comme les autres, il agira pour :
· le refus du CUMUL des MANDATS, afin d'éviter la concentration perverse des pouvoirs et prévenir ""les affaires"" ...
· le PARTAGE du TRAVAIL et son rééquilibrage sur le territoire,
· la lutte contre toutes les EXCLUSIONS : chômeurs, mal logés, handicapés ...
· donner aux jeunes une FORMATION généraliste et professionnelle pour répondre aux attentes du marché de l'emploi,
· DÉMOCRATISER la vie politique en revalorisant les concertations et en prenant en compte l'avis des citoyens et des associations,
· MORALISER la vie publique. JAMAIS PLUS de JUSTICE à deux vitesses et d'AUTO-AMNISTIE,
· une PROTECTION de l'environnement par l'application stricte des lois, par une gestion maîtrisée des déchets sur le principe POLLUEUR = PAYEUR.
La terre est notre héritage : nous sommes priés de la laisser dans l'état où nous l'avons trouvée en naissant !
Professeur de Physique à l'Ecole Nationale Supérieure des Beaux-Arts - Section Architecture. Membre de plusieurs associations de défense de l'environnement. Conseillère municipale depuis 1989. Mariée, deux enfants, 19 et 13 ans.
AGIR, PAS GEMIR
PAPIER RÉCUPÉRÉ ET RECYCLÉ 100%
Jacques CHOLET
Architecte urbaniste, marié, deux enfants, 19 et 15 ans, Président d'une association de défense de l'environnement.
I.P.C PARIS
GENERATION ECCOLE
Avec Brice LALONDE
Vu le candidat ☐Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Pour votre environnement quotidien l'Ecologie à l'Assemblée.
Au départ, l'écologie semb",Jacques CHOLET,0.995,,
EL198_L_1993_03_092_03_1_PF_06,femme,"Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Elections législatives : scrutins des 21 et 28 Mars 1993, Département des Hauts-de-seine, 3e circonscription,Bois-Colombes, Courbevoie, La Garenne-Colombes.
Les 21 et 28 Mars 1993, vous aurez à élire votre représentant à l'Assemblée Nationale. FAITES PREUVE D'IMAGINATION !
Catherine BRIGAND - GAMBAZZA
Votre environnement, c'est la nature, la culture, l'économie, la politique.
AIDEZ-MOI A LES DEFENDRE !
Votre député écologiste ne sera pas un député comme les autres, il agira pour :
· le refus du CUMUL des MANDATS, afin d'éviter la concentration perverse des pouvoirs et prévenir ""les affaires"" ...
· le PARTAGE du TRAVAIL et son rééquilibrage sur le territoire,
· la lutte contre toutes les EXCLUSIONS : chômeurs, mal logés, handicapés ...
· donner aux jeunes une FORMATION généraliste et professionnelle pour répondre aux attentes du marché de l'emploi,
· DÉMOCRATISER la vie politique en revalorisant les concertations et en prenant en compte l'avis des citoyens et des associations,
· MORALISER la vie publique. JAMAIS PLUS de JUSTICE à deux vitesses et d'AUTO-AMNISTIE,
· une PROTECTION de l'environnement par l'application stricte des lois, par une gestion maîtrisée des déchets sur le principe POLLUEUR = PAYEUR.
La terre est notre héritage : nous sommes priés de la laisser dans l'état où nous l'avons trouvée en naissant !
Professeur de Physique à l'Ecole Nationale Supérieure des Beaux-Arts - Section Architecture. Membre de plusieurs associations de défense de l'environnement. Conseillère municipale depuis 1989. Mariée, deux enfants, 19 et 13 ans.
AGIR, PAS GEMIR
PAPIER RÉCUPÉRÉ ET RECYCLÉ 100%
Jacques CHOLET
Architecte urbaniste, marié, deux enfants, 19 et 15 ans, Président d'une association de défense de l'environnement.
I.P.C PARIS
GENERATION ECCOLE
Avec Brice LALONDE
Vu le candidat ☐Sciences Po / fonds CEVIPOF
ENTENTE DES ECOLOGISTES
Pour votre environnement quotidien l'Ecologie à l'Assemblée.
Au départ, l'écologie semb",Brice LALONDE,0.999,,
EL137_L_1981_06_088_04_1_PF_01,femme,"DEPARTEMENT DES VOSGES
REPUBLIQUE FRANÇAISE
ELECTIONS LEGISLATIVES JUIN 1981
CIRCONSCRIPTION DE NEUFCHATEAU
Maria ROUYER
39 ans - Professeur - Responsable Syndicale Conseillère Municipale à Mirecourt Maître es Lettres
Madame, Mademoiselle, Monsieur,
Le 10 mai la majorité des Français a désavoué la politique que la droite a menée pendant 23 ans avec son cortège de chômeurs, de faillites, de mal-vivre.
Le changement, telle est la volonté des Français qui veulent mener une vie digne, libre et responsa- ble dans une société fraternelle. La nouvelle majorité présidentielle, portée au pouvoir par l'ensemble des forces de gauche, ouvre la porte au changement. Aujourd'hui tous les espoirs sont permis.
Mais la réalisation de l'effort social nécessaire pour répondre à cet espoir exige que soient appli- quées les réformes qui en fourniront les moyens économiques et financiers indispensables. Pour être sûr que ces réformes seront appliquées, il faut ancrer solidement à gauche la majorité parlementaire. Elire des députés communistes, ce sera permettre au Parti Communiste Français de faire entendre sa voix, votre voix. Demander des ministres communistes ,c'est vouloir assurer le changement. Avoir des ministres commu- nistes c'est avoir la garantie que les engagements pris seront respectés.
Je fais confiance à votre bon sens pour ne pas vous laisser abuser par la démagogie tonitruante du député sortant ni par son anti-communisme. Il y a pourtant beaucoup à faire dans la Plaine et dans la Vô- ge pour y assurer le plein emploi, pour offrir une vie meilleure à ses habitants, qui ne veulent plus se con- tenter de promesses.
Pour toutes ces raisons je vous appelle, le 14 juin, à confirmer la défaite de la droite, à marquer vo- tre volonté d'un changement réel et durable en m'apportant votre suffrage. Je m'engage à œuvrer pour le développement économique, social et culturel de notre circonscription, je m'engage à défendre les droits de changement partout où cela sera nécessaire, je m'en",NEUFCHATEAU Maria ROUYER,0.77,,
